,English Explanation,中文解释,REGISTER_M1024_N1024_K1024,,ULTIMATE_M1024_N1024_K1024,,NAIVE_M1024_N1024_K1024,SHARED_MEM_M1024_N1024_K1024,VECTORIZED_M1024_N1024_K1024,DOUBLE_BUF_M1024_N1024_K1024,TENSOR_CORE_M1024_N1024_K1024
launch/gpu__time_duration.sum (us),"Kernel GPU execution duration measured by Nsight Compute, in microseconds.",Nsight Compute 测得的 kernel 在 GPU 上执行耗时，单位为微秒。,235.072000,,123.456000,,736.000000,559.040000,194.400000,173.984000,248.352000
launch/launch__grid_size,Total number of thread blocks launched for this kernel.,本次 kernel 启动的线程块总数。,64,grid size,64,,"4,096","4,096",64,64,64
launch/launch__block_size,Number of CUDA threads in each block.,每个线程块中的 CUDA 线程数量。,256,block size,256,,256,256,256,256,512
launch/launch__thread_count (thread),"Total launched CUDA threads, equal to grid size times block size.",启动的 CUDA 线程总数，等于线程块数乘以每块线程数。,16384,grid size * block size,16384,,1048576,1048576,16384,16384,32768
launch/launch__waves_per_multiprocessor,Grid size normalized by SM count and the resident-block limit per SM; shows how many block waves are available per SM.,按 SM 数量和每个 SM 可驻留 block 上限归一化后的 block 波次数，用来判断任务量是否足够填满 GPU。,0.38,"max resident blocks/SM = min(4 static limits)=2
64/（84*2）=0.38",0.76,=1,8.13,8.13,0.38,0.76,0.38
launch/launch__registers_per_thread (register/thread),Registers allocated per thread by the compiler.,编译器为每个线程分配的寄存器数量。,122,64 + 8 * 2 + index + tmp variables,168,,40,37,104,168,64
launch/launch__shared_mem_per_block (Kbyte/block),"Shared memory allocated per block, including compiler and launch overhead reported by NCU.",每个线程块分配的 shared memory，包含 NCU 口径下的编译器或启动附加开销。,9.216000,(128*8*2*4B + 1024)/1000,17.408000,"*2, two buffer",1.024000,3.072000,9.216000,17.408000,27.136000
launch/launch__occupancy_limit_blocks (block),Maximum resident blocks per SM if only the architectural block-count limit is considered.,只考虑架构允许的 block 数量上限时，每个 SM 最多可驻留的 block 数。,24.000000,gpu,24.000000,gpu,24.000000,24.000000,24.000000,24.000000,24.000000
launch/launch__occupancy_limit_registers (block),Maximum resident blocks per SM limited by the register file capacity.,受寄存器文件容量限制时，每个 SM 最多可驻留的 block 数。,2.000000,floor(65536 / (122 regs/thread * 256 threads)) = 2,1.000000,,6.000000,6.000000,2.000000,1.000000,2.000000
launch/launch__occupancy_limit_shared_mem (block),Maximum resident blocks per SM limited by shared-memory capacity and configuration.,受 shared memory 容量和配置限制时，每个 SM 最多可驻留的 block 数。,7.000000,floor(约 64KB shared / 9.216KB per block) = 7,1.000000,,16.000000,21.000000,7.000000,1.000000,3.000000
